19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.61 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.93 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.11 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.51 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.6 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.44 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.76 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.26 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.21 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.95 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.42 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.07 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.46 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.52 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.3 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.91 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.22 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.95 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.01 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.59 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.37 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.28 
19/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.63 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.75 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.71 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.67 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.53 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 0.62 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.02 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.05 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.28 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.03 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.49 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 1.93 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 2.52 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.39 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.19 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.71 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.63 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 4.1 
20/02/2017; CORPAMAG ; Ciénaga ; Automática ; 11.0074569 ; -74.2446083 ; 47 ; MAGDALENA ; 47189 ; CIÉNAGA ; Fija ; 1 ; Velocidad del Viento ; m/s ; 3.26 
