24/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
25/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
28/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 5.5 
28/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 4.5 
28/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 5.5 
28/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
30/11/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
05/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 5.5 
05/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 3 
05/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
05/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
07/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 13 
07/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 4 
07/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 5 
08/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
08/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
08/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
11/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
12/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
12/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 6 
12/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 8.5 
12/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.5 
13/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 3 
13/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
15/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
15/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 6 
15/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
19/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.5 
20/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 4.5 
20/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 23 
20/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 8.5 
20/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 5 
21/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
23/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.5 
29/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
29/12/2011; AMVA ; GIR-I.E. Col. Colombia ; Automática ; 6.378517 ; -75.443986 ; 5 ; ANTIOQUIA ; 5308 ; GIRARDOTA ; Fija ; 1 ; Precipitación Líquida ; mm ; 2 
04/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.496 
08/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.448 
14/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.224 
15/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.312 
17/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.088 
17/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.856 
18/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 2.448 
18/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.264 
18/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 1.496 
20/11/2011; AMVA ; ITA-Ditaires ; Automática ; 6.171943 ; -75.631397 ; 5 ; ANTIOQUIA ; 5360 ; ITAGÜÍ ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.264 
