06/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.25 
07/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.36 
08/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.37 
09/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.85 
10/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.01 
11/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.18 
12/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.41 
13/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.12 
14/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.88 
15/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.06 
16/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.31 
17/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.31 
18/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.4 
19/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.42 
20/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.96 
21/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.16 
22/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.05 
23/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.2 
24/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.37 
25/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.52 
26/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.37 
27/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.02 
28/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.04 
29/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.96 
30/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.3 
31/10/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.73 
05/12/2014; CORPOCESAR ; ZM03 La Loma 2 ; Manual ; 9.614 ; -73.589389 ; 20 ; CESAR ; 20250 ; EL PASO ; Fija ; 24 ; Velocidad del Viento ; m/s ; 3.06 
01/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1 
02/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.11 
03/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.02 
04/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.05 
05/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.02 
06/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.07 
07/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.94 
08/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.94 
09/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.35 
10/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.74 
11/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.85 
12/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.09 
13/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.91 
14/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.81 
15/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.79 
16/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.85 
17/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.88 
18/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.99 
19/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.82 
20/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.05 
21/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 0.82 
22/01/2014; CORPOCESAR ; ZM15 Chiriguaná ; Manual ; 9.363639 ; -73.607083 ; 20 ; CESAR ; 20178 ; CHIRIGUANÁ ; Fija ; 24 ; Velocidad del Viento ; m/s ; 1.18 
