25/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.12 
26/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.08 
27/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 31.21 
28/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.04 
29/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.33 
30/09/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.46 
01/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.29 
02/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.58 
03/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.5 
04/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.12 
05/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.17 
06/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.96 
07/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.71 
08/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.38 
09/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.67 
10/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.21 
11/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.58 
12/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.67 
13/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.5 
14/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.54 
15/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32 
16/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33 
17/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 31.21 
18/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 30.92 
19/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.21 
25/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.54 
26/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 37.25 
27/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34 
28/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36.62 
29/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.38 
30/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.46 
31/10/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.88 
01/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.88 
02/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.17 
03/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.54 
04/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.38 
05/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.83 
06/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 31.71 
07/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.21 
08/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.83 
09/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.96 
10/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.29 
11/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.42 
12/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33 
13/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.67 
14/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.62 
15/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.83 
16/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.83 
17/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.29 
18/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.25 
19/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.33 
20/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 36 
21/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.92 
22/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.29 
23/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.83 
24/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 35.92 
26/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 32.32 
27/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.54 
28/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.29 
29/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.08 
30/11/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.5 
01/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34 
02/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 34.04 
03/12/2017; CORANTIOQUIA ; Ca. Andes 2017 ; Manual ; 5.659444 ; -75.876667 ; 5 ; ANTIOQUIA ; 5034 ; ANDES ; Indicativa ; 24 ; Humedad Relativa ; % ; 33.83 
